Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-25,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-25 10:06:24,false,0.39,0.35,33
2023-02-25,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-25 10:44:19,false,1.76,0.90,57
2023-02-25,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-02-25 00:01:43,false,0.47,0.54,31
2023-02-25,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-25 03:09:33,false,8.34,1.28,43
2023-02-25,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-25 14:08:05,false,0.37,0.32,14
2023-02-25,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-25 08:10:22,false,1.33,1.26,70
2023-02-25,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-24 23:37:40,false,0.87,0.58,35
2023-02-25,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-25 02:35:40,false,2.91,2.73,58
2023-02-25,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-25 00:19:41,false,0.17,0.19,7
2023-02-25,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-24 23:49:15,false,0.68,0.65,51
2023-02-25,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-25 00:21:52,false,2.14,1.18,87
2023-02-25,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-25 12:53:59,false,0.60,0.58,31
2023-02-24,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-24 09:07:42,false,0.37,0.35,28
2023-02-24,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-24 01:48:31,false,2.69,2.50,99
2023-02-24,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-24 13:08:55,false,0.35,0.27,14
2023-02-24,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-24 10:45:34,false,1.74,1.48,64
2023-02-24,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-24 09:48:10,false,2.70,2.77,80
2023-02-24,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-24 10:53:30,false,0.61,0.89,8
2023-02-24,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-02-24 11:05:05,false,0.42,0.46,27
2023-02-24,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-24 02:31:04,false,2.98,3.74,69
2023-02-24,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-24 09:03:20,false,2.44,3.09,65
2023-02-24,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-23 23:47:52,false,0.70,0.75,53
2023-02-24,bellabot,sv1000213943034,20:50:E7:23:56:70,Чайхана PLOV,2023-02-24 00:28:58,false,0.02,0.01,1
2023-02-24,bellabot,SV1000214017012,D4:12:43:C3:87:66,Soft-servis,2023-02-24 17:22:39,false,0.12,0.07,7
2023-02-24,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-24 12:57:29,false,0.54,0.38,17
2023-02-24,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-23 14:04:40,false,10.42,1.54,40
2023-02-24,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-24 01:39:02,false,2.85,2.82,60
2023-02-24,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-23 19:56:39,false,4.56,1.68,130
2023-02-24,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-24 09:57:48,false,0.54,0.74,38
2023-02-24,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-24 12:09:40,false,0.34,0.27,19
2023-02-24,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-24 00:51:32,false,11.64,0.03,20
2023-02-24,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-24 11:49:29,false,1.68,2.56,2
