Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Interactive Visits,Interaction time(h)
2023-02-08,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.65,1.72,0,0.00
2023-02-08,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.19,4.51,0,0.00
2023-02-07,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.58,0.35,0,0.00
2023-02-07,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,2.66,3.60,0,0.00
2023-02-07,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.47,2.09,0,0.00
2023-02-07,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.11,0.82,0,0.00
2023-02-07,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,4.26,3.08,0,0.00
2023-02-07,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,1.20,1.81,0,0.00
2023-02-06,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,3.91,5.04,0,0.00
2023-02-06,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.14,0.11,0,0.00
2023-02-06,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,1.69,1.04,0,0.00
2023-02-06,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.12,0.09,0,0.00
2023-02-06,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.34,4.48,0,0.00
2023-02-06,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,5.16,4.57,12,0.01
2023-02-06,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,5.35,4.70,0,0.00
